Category,Program Name,URL,Description
Accounting,"Accounting, BS",/programs/accounting-bs,"Draws upon the expertise of dedicated faculty who challenge, motivate, and encourage students in pursuit of their educational goals Accounting faculty, using practical business experience and real-world themes, help students bridge the gap from classroom to career Real business world experience may be obtained by students through school sponsored internships and the Central Cooperative Education Program Graduates are recruited from large international, national, regional, and local accounting firms, Fortune 500 companies, State of Connecticut, FBI, IRS, as well as many other organizations Option for 5-year accelerated BS in Accounting/MBA or BS in Accounting/MSA Financial aid and scholarships available Free on-campus child care available"
Accounting,"Accounting, MS",/programs/accounting-ms,"Starts every January, May, and August 30-credit program Attend full- or part-time Classes offered evenings on-campus and online Aligned with current CPA academic standards Curriculum capitalizes on emerging technological trends and analytics On-campus recruitment by major CPA employers Financial aid is available"
Accounting,"Accounting Analytics, OCP",/programs/accounting-analytics-ocp,Starts every January and August 12-credit program Attend part-time Classes offered evening on-campus and online No GMAT/GRE required
Accounting and Finance,Banking Excellence Certificate,/programs/banking-excellence-certificate,Tailored curriculum of 400 level courses 12-credits Classes available on-campus Small class sizes Classes taught by professionals with industry expertise Paid internship Individual advising Guest speaker presentations Tours of financial institutions Industry-related extracurricular opportunities Can be added to existing undergraduate programs Financial aid and scholarships available
African Studies,"African Studies, Minor",/programs/african-studies-minor,
African-American Studies,"African-American Studies, Minor",/programs/african-american-studies-minor,
American Studies,"American Studies, Minor",/programs/american-studies-minor,
Anthropology,"Anthropology, BA",/programs/anthropology-ba,
Anthropology,"Anthropology, Minor",/programs/anthropology-minor,
Anthropology,"Biological Anthropology, Minor",/programs/biological-anthropology-minor,
Anthropology,"Practicing Anthropology, Minor",/programs/practicing-anthropology-minor,
Archaeology,"Archaeology, Minor",/programs/archaeology-minor,
Art,"Art, BA",/programs/art-ba,
Art,"Art History, Minor",/programs/art-history-minor,
Art,"Art, Minor",/programs/art-minor,
Art,"Art Education, BS (Certifiable for PK-12)",/programs/art-education-bs-certifiable-pk-12,
Art,"Art Education, MS",/programs/art-education-ms,
Art,Post-Baccalaureate Teacher Preparation in Art Education (K-12),/programs/post-baccalaureate-teacher-preparation-art-education-k-12,
Artificial Intelligence,Application of Artificial Intelligence Minor,/programs/application-artificial-intelligence-minor,18-credit interdisciplinary program Attend classes on-campus and online Discipline-based education Hand-son facilities State-of-the-art labs and equipment Opportunities for research projects including building generative AI solutions Financial aid available
Artificial Intelligence,Artificial Intelligence MS,/programs/artificial-intelligence-ms,"Starts every January and August 30 to 32 credits Attend full- or part-time Small class sizes Experienced faculty who bring real-world experience and expertise in areas such as machine learning, cybersecurity, data mining, generative AI, and intelligent robotics State-of-the-art lab equipment and facilities Newly established Artificial Intelligence Corridor Free on-campus childcare Financial aid available"
Asian American and Pacific Islander Studies,"Asian American and Pacific Islander Studies, Minor",/programs/asian-american-and-pacific-islander-studies-minor,
Astrobiology,"Astrobiology, Minor",/programs/astrobiology-minor,
Astronomy,"Astronomy, Minor",/programs/astronomy-minor,
Athletic Training,"Athletic Training, MSAT",/programs/athletic-training-msat,
Biochemistry,"Biochemistry, BS",/programs/biochemistry-bs,
Biochemistry,"Biochemistry, Minor",/programs/biochemistry-minor,
Biology,"Biology, BS",/programs/biology-bs,
Biology,"Biology (Non-teaching), Minor",/programs/biology-non-teaching-minor,
Biology,"Biology (Certifiable for Secondary Teaching), BS",/programs/biology-certifiable-secondary-teaching-bs,
Biology,"Biological Sciences, MA/MS",/programs/biological-sciences-ma/ms,
Biology,Post-Baccalaureate Teacher Preparation in Biology for Secondary Education,/programs/post-baccalaureate-teacher-preparation-biology-secondary-education,
Biomolecular Sciences,"Biomolecular Sciences, BS",/programs/biomolecular-sciences-bs,
Biomolecular Sciences,"Biomolecular Sciences (Non-teaching), Minor",/programs/biomolecular-sciences-non-teaching-minor,
Biomolecular Sciences,"Biomolecular Sciences, MS",/programs/biomolecular-sciences-ms,
Business,"Business, BS",/programs/business-bs,
Business,"Business Analytics, BS",/programs/business-analytics-bs,
Business,Project Management Certificate,/programs/project-management-certificate,12-credit program Small class sizes State-of-the-art software and lab equipment Hands-on faculty with real-world experience Access to workforce development scholarship Financial aid available
Business,Applied Metrology & Six Sigma Quality Certificate,/programs/applied-metrology-six-sigma-quality-certificate,Available in hybrid and evening courses 15-credits Attend full- or part-time Small class sizes Access to state-of-the-art lab equipment and software All classes applicable to real-world workplace situations Classes taught by professionals with industry expertise Can be added to existing undergraduate programs or taken as a standalone program Can be stacked with other undergraduate certificates Financial aid and scholarships available
Business,"Business (for non-business majors), Minor",/programs/business-non-business-majors-minor,
Business,"Business Administration, MBA",/programs/business-administration-mba,
Business,Official Certificate Program in Business Analytics,/programs/official-certificate-program-business-analytics,
Business,Official Certificate Program in Business Leadership,/programs/official-certificate-program-business-leadership,
Chemistry,"Chemistry, BS",/programs/chemistry-bs,
Chemistry,"Chemistry, Minor",/programs/chemistry-minor,
Chemistry,"Chemistry (Certifiable for Secondary Education), BS",/programs/chemistry-certifiable-secondary-education-bs,
Cinema Studies,"Cinema Studies, Minor",/programs/cinema-studies-minor,
Civil Engineering,"Civil Engineering, BS",/programs/civil-engineering-bs,
Climate Change Studies,"Climate Change Studies, BS",/programs/climate-change-studies-bs,
Climate Change Studies,"Climate Change Studies, BA",/programs/climate-change-studies-ba,Interdisciplinary 36 credit program Classes on-campus and online Opportunity to double major or minor in an allied field Faculty with expertise drawn from a wide spectrum of academic disciplines Opportunities to participate in capstone projects that provide the skills and experiences valued by employers. Access to state-of-the-art labs Financial aid and scholarships available
Climate Change Studies,"Climate Change Studies, Minor",/programs/climate-change-studies-minor,
Commercial Lending,Official Certificate Program in Commercial Lending,/programs/official-certificate-program-commercial-lending,
Communication,"Strategic Communication, BA",/programs/strategic-communication-ba,"Attend full- or part-time Classes on-campus or in hybrid format Small class sizes Engaged, diverse faculty who are experts in their field Study abroad opportunities Internships in government, nonprofits, and private businesses Minor in Strategic Communication is also available Financial aid and scholarships available Free on-campus child care available"
Communication,"Strategic Communication, Minor",/programs/strategic-communication-minor,
Communication,"Strategic Communication, MS",/programs/strategic-communication-ms,
Community Engagement,"Community Engagement, Minor",/programs/community-engagement-minor,
Computer Electronics & Graphics Technology,"Graphics Technology, BS",/programs/graphics-technology-bs,
Computer Electronics & Graphics Technology,"Graphics Technology, Minor",/programs/graphics-technology-minor,
Computer Engineering Technology,"Computer Engineering Technology, BS",/programs/computer-engineering-technology-bs,
Computer Science,"Computer Science, BA",/programs/computer-science-ba,
Computer Science,"Computer Science, BS",/programs/computer-science-bs,
Computer Science,Database Management Certificate,/programs/database-management-certificate,"12-credit program Small class sizes Classes offered on-campus, online, and evenings Designed for working professionals State-of-the-art software and lab equipment Hands-on faculty with real-world experience Free on-campus childcare"
Computer Science,"Computer Science, Minor",/programs/computer-science-minor,
Computer Science,"Cybersecurity Technology, Minor",/programs/cybersecurity-technology-minor,
Computer Science,Digital Humanities Minor,/programs/digital-humanities-minor,"Interdisciplinary program 18-credits Small class sizes Access to state-of-the-art technology, including: Artificial Intelligence tools Virtual reality E-Sports and gaming computers Opportunities to design original multimedia and interdisciplinary research projects and publish those projects online as part of a professional portfolio"
